title,price,link,image_url,weight
Amazon Brand - Presto! Active Wash Detergent Powder | 8 Kg | Tough On Stains | Gentle On Fabrics | Colour-Safe | Refreshing Fragrance | Machine And Hand Wash,459,https://www.amazon.in/Amazon-Brand-Detergent-Colour-Safe-Refreshing/dp/B0CV7J49TQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-1,https://m.media-amazon.com/images/I/61hx-ExBRhL._AC_UL320_.jpg,8 Kg
Surf Excel Easy Wash Detergent Powder7 kg | Superfine Washing Powder | Dissolves Easily & Removes Tough Stains | Suitable for all Washing Machines,777,https://www.amazon.in/Surf-Excel-Detergent-Superfine-Dissolves/dp/B0D7GQNL6B/ref=sr_1_2?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-2,https://m.media-amazon.com/images/I/61akecKSiLL._AC_UL320_.jpg,7 kg
"Active White Detergent Washing Powder, 7 kg Ultra Pack | Laundry Detergent | Removes Tough Stains | High Efficiency | Superior Cleaning | Power Boosters",249,https://www.amazon.in/Nikunj-Advance-Detergent-Powder-Ultra/dp/B0C1BM3GLF/ref=sr_1_3?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-3,https://m.media-amazon.com/images/I/71gT72Adl4L._AC_UL320_.jpg,7 kg
"Tide Plus Detergent Washing Powder - 6kg+2kg free | Jasmine & Rose Fragrance | Removes deep-seated Oil, Gravy, Tea Stains | 8kg, Pack of 1",820,https://www.amazon.in/Tide-Extra-Detergent-Washing-Powder/dp/B079QBSYSX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-4,https://m.media-amazon.com/images/I/71l5z0vNs3L._AC_UL320_.jpg,6kg
Surf Excel Easy Wash Detergent Powder - 5 Kg,606,https://www.amazon.in/Surf-Excel-Easy-Detergent-Powder/dp/B09C3VGV8G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-5,https://m.media-amazon.com/images/I/61s5orKgmwL._AC_UL320_.jpg,5 Kg
More Light Extra Power Laundry Detergent powder 4kg with Enzymatic Action Removes Tough Stain with Refreshing Fragrance,249,https://www.amazon.in/More-Light-Extra-Detergent-powder/dp/B08DRKZDHT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-6,https://m.media-amazon.com/images/I/61aa76CsLEL._AC_UL320_.jpg,4kg
Active White Detergent Powder - 4 Kg Mega Pack,165,https://www.amazon.in/Active-White-Detergent-Powder-Mega/dp/B07VFG6H4Z/ref=sr_1_8?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-8,https://m.media-amazon.com/images/I/81C2GRvBULL._AC_UL320_.jpg,4 Kg
"Tide Plus Detergent Washing Powder - 4kg+1kg free | Lemon & Mint Fragrance| Removes deep-seated Oil, Gravy, Tea Stains | 5kg, Pack of 1",539,https://www.amazon.in/Tide-Extra-Detergent-Washing-Powder/dp/B079Q4PCXV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-9,https://m.media-amazon.com/images/I/61Eflfx5rlL._AC_UL320_.jpg,4kg
Tadak Bhadak Detergent Powder - 5 kg Super Budget Pack,139,https://www.amazon.in/Tadak-Bhadak-Detergent-Powder-Budget/dp/B09QSDT6XL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.gx7LXRYfRTH5zRXjin5JOEgbaQUnDB7HeauVbUtz-SRdwZ8mtizKQzoizz0LQo4nBSkRqtzN4ZGr519F1WTDwfuhmJvE2C0D-wZ-oJUvVsUcmkgDnLkkLZgtgA_Y08f7o72Hsf2dVLJgoWKBqaDQm85vYalxUbzK08osuXABVg_sDKSiKGlhiwjjDrdMTKBk-7hYTY0I2wI5VS-TCCbZyzoCeyjtbgPohSWPbyfk8vX0aMt7kUzbu70OWHwm-07n0MDHTps27zTEVNoCQbDvhw18FNMa2vOtqevh6Gb7FATPk0jJnMCaFMaT--xwdZIWhjPap5wKpuiWvvWtbsDMmWirLdvHGNtAR7l3RK8MtvXfaHv6o-DcCbV7mQKu5FhC9mzr3SG59jq97ZMw54HMb-skat5n47YS0MB1oa9wWqW0RqAcTfyHhd5lJfUepZPo.svPJa6MMRII1rIGxLNVL8RrEnYN2EsfWDrUTBeiFBgI&dib_tag=se&keywords=detergent&qid=1738908182&sr=8-10,https://m.media-amazon.com/images/I/71MgZa+XZTL._AC_UL320_.jpg,5 kg
